,Location,Lat,Long
106,"Bangor, Maine, USA",44.8011821,-68.7778138
107,"San Jose, California, USA",37.3361905,-121.890583
108,"San Antonio, Texas, USA",29.4246002,-98.4951405
109,"Albuquerque, New Mexico, USA",35.0841034,-106.6509851
110,"Sao Paulo, Brazil",-23.5506507,-46.6333824
111,"Berlin, Germany",52.5170365,13.3888599
112,"Cincinnati, Ohio, USA",39.1014537,-84.5124602
113,"Baltimore, Maryland, USA",39.2908816,-76.610759
114,"Quebec City, Quebec, Canada",46.8259601,-71.2352226
115,"Abu Dhabi, United Arab Emirates",24.4538352,54.3774014
116,"Natal, Rio Grande do Norte, Brazil",-5.805398,-35.2080905
117,"Jaragua do Sul, Santa Catarina, Brazil",-26.4897432,-49.0778063
118,"Duluth, Georgia, USA",34.0028569,-84.1441046
119,"Singapore, Singapore",1.357107,103.8194992
120,"Fort Campbell, Kentucky, USA",36.6411584,-87.4344543
121,"Belo Horizonte, Minas Gerais, Brazil",-19.9227318,-43.9450948
122,"Indianapolis, Indiana, USA",39.779801,-86.13940921
123,"Seattle, Washington, USA",47.6038321,-122.3300624
124,"Gold Coast, Queensland, Australia",-28.0023731,153.4145987
125,"Minneapolis, Minnesota, USA",44.9772995,-93.2654692
126,"Nottingham, England, United Kingdom",52.9534193,-1.1496461
127,"East Rutherford, New Jersey, USA",40.833989,-74.0970865
128,"Omaha, Nebraska, USA",41.2587459,-95.9383758
129,"Birmingham, England, United Kingdom",52.4796992,-1.9026911
130,"Washington, DC, USA",38.8949924,-77.0365581
131,"Louisville, Kentucky, USA",38.2542376,-85.759407
132,"Killeen, Texas, USA",31.1171441,-97.727796
133,"Auburn Hills, Michigan, USA",42.6875323,-83.2341028
134,"Oberhausen, North Rhine-Westphalia, Germany",51.4696137,6.8514435
135,"Oakland, California, USA",37.8044557,-122.2713563
136,"Memphis, Tennessee, USA",35.1490215,-90.0516285
137,"Cologne, North Rhine-Westphalia, Germany",50.938361,6.959974
138,"Columbus, Ohio, USA",39.9622601,-83.0007065
139,"Fayetteville, North Carolina, USA",35.0525759,-78.878292
140,"Rosemont, Illinois, USA",41.9941334,-87.8756737
141,"Newcastle, England, United Kingdom",54.9738474,-1.6131572
142,"Uncasville, Connecticut, USA",41.4345426,-72.1097996
143,"Miami, Florida, USA",25.7741728,-80.19362
144,"Bossier City, Louisiana, USA",32.5369356,-93.6952689
145,"Tokyo, Japan",35.6828387,139.7594549
146,"Cedar Rapids, Iowa, USA",41.9758872,-91.6704053
147,"Lake Charles, Louisiana, USA",30.2265949,-93.2173759
148,"Chiba, Japan",35.609985,140.118126
149,"Birmingham, Alabama, USA",33.5206824,-86.8024326
150,"Bay St. Louis, Mississippi, USA",30.3132823,-89.3343223
151,"Mobile, Alabama, USA",30.6943566,-88.0430541
152,"Yokohama, Kanagawa, Japan",35.444991,139.636768
153,"Augusta, Georgia, USA",33.4709714,-81.9748429
154,"Dothan, Alabama, USA",31.2237434,-85.3933906
155,"San Juan, Puerto Rico",18.465299,-66.116666
156,"Casper, Wyoming, USA",42.866632,-106.313081
